area,coverage,variable,value
46530,Total,        Bachelor's degree or higher,"9,701"
46530,Male,        Bachelor's degree or higher,"4,927"
46530,Female,        Bachelor's degree or higher,"4,774"
46536,Total,        Bachelor's degree or higher,429
46536,Male,        Bachelor's degree or higher,219
46536,Female,        Bachelor's degree or higher,210
46544,Total,        Bachelor's degree or higher,"4,447"
46544,Male,        Bachelor's degree or higher,"2,123"
46544,Female,        Bachelor's degree or higher,"2,324"
46545,Total,        Bachelor's degree or higher,"4,432"
46545,Male,        Bachelor's degree or higher,"2,052"
46545,Female,        Bachelor's degree or higher,"2,380"
46550,Total,        Bachelor's degree or higher,851
46550,Male,        Bachelor's degree or higher,408
46550,Female,        Bachelor's degree or higher,443
46552,Total,        Bachelor's degree or higher,"1,163"
46552,Male,        Bachelor's degree or higher,452
46552,Female,        Bachelor's degree or higher,711
46554,Total,        Bachelor's degree or higher,828
46554,Male,        Bachelor's degree or higher,333
46554,Female,        Bachelor's degree or higher,495
46556,Total,        Bachelor's degree or higher,286
46556,Male,        Bachelor's degree or higher,262
46556,Female,        Bachelor's degree or higher,24
46561,Total,        Bachelor's degree or higher,"2,064"
46561,Male,        Bachelor's degree or higher,915
46561,Female,        Bachelor's degree or higher,"1,149"
46563,Total,        Bachelor's degree or higher,"3,002"
46563,Male,        Bachelor's degree or higher,"1,282"
46563,Female,        Bachelor's degree or higher,"1,720"
46573,Total,        Bachelor's degree or higher,616
46573,Male,        Bachelor's degree or higher,335
46573,Female,        Bachelor's degree or higher,281
46574,Total,        Bachelor's degree or higher,873
46574,Male,        Bachelor's degree or higher,385
46574,Female,        Bachelor's degree or higher,488
46595,Total,        Bachelor's degree or higher,0
46595,Male,        Bachelor's degree or higher,0
46595,Female,        Bachelor's degree or higher,0
46601,Total,        Bachelor's degree or higher,622
46601,Male,        Bachelor's degree or higher,253
46601,Female,        Bachelor's degree or higher,369
46613,Total,        Bachelor's degree or higher,701
46613,Male,        Bachelor's degree or higher,349
46613,Female,        Bachelor's degree or higher,352
46614,Total,        Bachelor's degree or higher,"5,211"
46614,Male,        Bachelor's degree or higher,"2,560"
46614,Female,        Bachelor's degree or higher,"2,651"
46615,Total,        Bachelor's degree or higher,"2,725"
46615,Male,        Bachelor's degree or higher,"1,104"
46615,Female,        Bachelor's degree or higher,"1,621"
46616,Total,        Bachelor's degree or higher,"1,047"
46616,Male,        Bachelor's degree or higher,530
46616,Female,        Bachelor's degree or higher,517
46617,Total,        Bachelor's degree or higher,"3,552"
46617,Male,        Bachelor's degree or higher,"1,739"
46617,Female,        Bachelor's degree or higher,"1,813"
46619,Total,        Bachelor's degree or higher,"1,130"
46619,Male,        Bachelor's degree or higher,440
46619,Female,        Bachelor's degree or higher,690
46624,Total,        Bachelor's degree or higher,40
46624,Male,        Bachelor's degree or higher,15
46624,Female,        Bachelor's degree or higher,25
46628,Total,        Bachelor's degree or higher,"3,597"
46628,Male,        Bachelor's degree or higher,"1,586"
46628,Female,        Bachelor's degree or higher,"2,011"
46635,Total,        Bachelor's degree or higher,"1,275"
46635,Male,        Bachelor's degree or higher,622
46635,Female,        Bachelor's degree or higher,653
46637,Total,        Bachelor's degree or higher,"3,456"
46637,Male,        Bachelor's degree or higher,"1,733"
46637,Female,        Bachelor's degree or higher,"1,723"
"St. Joseph County, Indiana",Total,"    White alone, not Hispanic or Latino","135,686"
"St. Joseph County, Indiana",Male,"    White alone, not Hispanic or Latino","65,550"
"St. Joseph County, Indiana",Female,"    White alone, not Hispanic or Latino","70,136"
46506,Total,"    White alone, not Hispanic or Latino","6,013"
46506,Male,"    White alone, not Hispanic or Latino","2,947"
46506,Female,"    White alone, not Hispanic or Latino","3,066"
46530,Total,"    White alone, not Hispanic or Latino","17,873"
46530,Male,"    White alone, not Hispanic or Latino","8,477"
46530,Female,"    White alone, not Hispanic or Latino","9,396"
46536,Total,"    White alone, not Hispanic or Latino","2,084"
46536,Male,"    White alone, not Hispanic or Latino","1,061"
46536,Female,"    White alone, not Hispanic or Latino","1,023"
46544,Total,"    White alone, not Hispanic or Latino","18,227"
46544,Male,"    White alone, not Hispanic or Latino","8,913"
46544,Female,"    White alone, not Hispanic or Latino","9,314"
46545,Total,"    White alone, not Hispanic or Latino","14,682"
46545,Male,"    White alone, not Hispanic or Latino","6,782"
46545,Female,"    White alone, not Hispanic or Latino","7,900"
46550,Total,"    White alone, not Hispanic or Latino","7,153"
46550,Male,"    White alone, not Hispanic or Latino","3,611"
46550,Female,"    White alone, not Hispanic or Latino","3,542"
46552,Total,"    White alone, not Hispanic or Latino","4,329"
46552,Male,"    White alone, not Hispanic or Latino","2,050"
46552,Female,"    White alone, not Hispanic or Latino","2,279"
46554,Total,"    White alone, not Hispanic or Latino","2,961"
46554,Male,"    White alone, not Hispanic or Latino","1,482"
46554,Female,"    White alone, not Hispanic or Latino","1,479"
46556,Total,"    White alone, not Hispanic or Latino",444
46556,Male,"    White alone, not Hispanic or Latino",328
46556,Female,"    White alone, not Hispanic or Latino",116
46561,Total,"    White alone, not Hispanic or Latino","8,946"
46561,Male,"    White alone, not Hispanic or Latino","4,425"
46561,Female,"    White alone, not Hispanic or Latino","4,521"
46563,Total,"    White alone, not Hispanic or Latino","13,468"
46563,Male,"    White alone, not Hispanic or Latino","6,619"
46563,Female,"    White alone, not Hispanic or Latino","6,849"
46573,Total,"    White alone, not Hispanic or Latino","2,356"
46573,Male,"    White alone, not Hispanic or Latino","1,164"
46573,Female,"    White alone, not Hispanic or Latino","1,192"
46574,Total,"    White alone, not Hispanic or Latino","4,853"
46574,Male,"    White alone, not Hispanic or Latino","2,504"
46574,Female,"    White alone, not Hispanic or Latino","2,349"
46595,Total,"    White alone, not Hispanic or Latino",24
46595,Male,"    White alone, not Hispanic or Latino",12
46595,Female,"    White alone, not Hispanic or Latino",12
46601,Total,"    White alone, not Hispanic or Latino","2,089"
46601,Male,"    White alone, not Hispanic or Latino","1,149"
46601,Female,"    White alone, not Hispanic or Latino",940
46613,Total,"    White alone, not Hispanic or Latino","3,544"
46613,Male,"    White alone, not Hispanic or Latino","1,738"
46613,Female,"    White alone, not Hispanic or Latino","1,806"
46614,Total,"    White alone, not Hispanic or Latino","15,959"
46614,Male,"    White alone, not Hispanic or Latino","7,951"
46614,Female,"    White alone, not Hispanic or Latino","8,008"
46615,Total,"    White alone, not Hispanic or Latino","7,151"
46615,Male,"    White alone, not Hispanic or Latino","3,144"
46615,Female,"    White alone, not Hispanic or Latino","4,007"
46616,Total,"    White alone, not Hispanic or Latino","2,450"
46616,Male,"    White alone, not Hispanic or Latino","1,191"
46616,Female,"    White alone, not Hispanic or Latino","1,259"
46617,Total,"    White alone, not Hispanic or Latino","4,815"
46617,Male,"    White alone, not Hispanic or Latino","2,309"
46617,Female,"    White alone, not Hispanic or Latino","2,506"
46619,Total,"    White alone, not Hispanic or Latino","6,259"
46619,Male,"    White alone, not Hispanic or Latino","3,034"
46619,Female,"    White alone, not Hispanic or Latino","3,225"
46624,Total,"    White alone, not Hispanic or Latino",48
46624,Male,"    White alone, not Hispanic or Latino",23
46624,Female,"    White alone, not Hispanic or Latino",25
46628,Total,"    White alone, not Hispanic or Latino","11,790"
46628,Male,"    White alone, not Hispanic or Latino","5,741"
46628,Female,"    White alone, not Hispanic or Latino","6,049"
46635,Total,"    White alone, not Hispanic or Latino","4,251"
46635,Male,"    White alone, not Hispanic or Latino","1,974"
46635,Female,"    White alone, not Hispanic or Latino","2,277"
46637,Total,"    White alone, not Hispanic or Latino","9,062"
46637,Male,"    White alone, not Hispanic or Latino","4,383"
46637,Female,"    White alone, not Hispanic or Latino","4,679"
"St. Joseph County, Indiana",Total,        High school graduate or higher,"126,577"
"St. Joseph County, Indiana",Male,        High school graduate or higher,"60,604"
"St. Joseph County, Indiana",Female,        High school graduate or higher,"65,973"
46506,Total,        High school graduate or higher,"5,004"
46506,Male,        High school graduate or higher,"2,454"
46506,Female,        High school graduate or higher,"2,550"
46530,Total,        High school graduate or higher,"17,412"
46530,Male,        High school graduate or higher,"8,232"
46530,Female,        High school graduate or higher,"9,180"
46536,Total,        High school graduate or higher,"1,915"
46536,Male,        High school graduate or higher,952
46536,Female,        High school graduate or higher,963
46544,Total,        High school graduate or higher,"16,399"
46544,Male,        High school graduate or higher,"7,842"
46544,Female,        High school graduate or higher,"8,557"
46545,Total,        High school graduate or higher,"13,463"
46545,Male,        High school graduate or higher,"6,163"
46545,Female,        High school graduate or higher,"7,300"
46550,Total,        High school graduate or higher,"5,389"
46550,Male,        High school graduate or higher,"2,577"
46550,Female,        High school graduate or higher,"2,812"
46552,Total,        High school graduate or higher,"4,106"
46552,Male,        High school graduate or higher,"1,940"
46552,Female,        High school graduate or higher,"2,166"
46554,Total,        High school graduate or higher,"2,812"
46554,Male,        High school graduate or higher,"1,415"
46554,Female,        High school graduate or higher,"1,397"
46556,Total,        High school graduate or higher,439
46556,Male,        High school graduate or higher,328
46556,Female,        High school graduate or higher,111
46561,Total,        High school graduate or higher,"8,090"
46561,Male,        High school graduate or higher,"3,815"
46561,Female,        High school graduate or higher,"4,275"
46563,Total,        High school graduate or higher,"12,053"
46563,Male,        High school graduate or higher,"5,907"
46563,Female,        High school graduate or higher,"6,146"
46573,Total,        High school graduate or higher,"2,098"
46573,Male,        High school graduate or higher,983
46573,Female,        High school graduate or higher,"1,115"
46574,Total,        High school graduate or higher,"4,534"
46574,Male,        High school graduate or higher,"2,330"
46574,Female,        High school graduate or higher,"2,204"
46595,Total,        High school graduate or higher,24
46595,Male,        High school graduate or higher,12
46595,Female,        High school graduate or higher,12
46601,Total,        High school graduate or higher,"1,820"
46601,Male,        High school graduate or higher,982
46601,Female,        High school graduate or higher,838
46613,Total,        High school graduate or higher,"3,168"
46613,Male,        High school graduate or higher,"1,475"
46613,Female,        High school graduate or higher,"1,693"
46614,Total,        High school graduate or higher,"14,916"
46614,Male,        High school graduate or higher,"7,311"
46614,Female,        High school graduate or higher,"7,605"
46615,Total,        High school graduate or higher,"6,615"
46615,Male,        High school graduate or higher,"2,815"
46615,Female,        High school graduate or higher,"3,800"
46616,Total,        High school graduate or higher,"2,307"
46616,Male,        High school graduate or higher,"1,106"
46616,Female,        High school graduate or higher,"1,201"
46617,Total,        High school graduate or higher,"4,751"
46617,Male,        High school graduate or higher,"2,277"
46617,Female,        High school graduate or higher,"2,474"
46619,Total,        High school graduate or higher,"5,611"
46619,Male,        High school graduate or higher,"2,783"
46619,Female,        High school graduate or higher,"2,828"
46624,Total,        High school graduate or higher,48
46624,Male,        High school graduate or higher,23
46624,Female,        High school graduate or higher,25
46628,Total,        High school graduate or higher,"11,009"
46628,Male,        High school graduate or higher,"5,381"
46628,Female,        High school graduate or higher,"5,628"
46635,Total,        High school graduate or higher,"3,803"
46635,Male,        High school graduate or higher,"1,816"
46635,Female,        High school graduate or higher,"1,987"
46637,Total,        High school graduate or higher,"8,820"
46637,Male,        High school graduate or higher,"4,249"
46637,Female,        High school graduate or higher,"4,571"
"St. Joseph County, Indiana",Total,        Bachelor's degree or higher,"45,595"
"St. Joseph County, Indiana",Male,        Bachelor's degree or higher,"21,752"
"St. Joseph County, Indiana",Female,        Bachelor's degree or higher,"23,843"
46506,Total,        Bachelor's degree or higher,"1,279"
46506,Male,        Bachelor's degree or higher,501
46506,Female,        Bachelor's degree or higher,778
46530,Total,        Bachelor's degree or higher,"9,528"
46530,Male,        Bachelor's degree or higher,"4,854"
46530,Female,        Bachelor's degree or higher,"4,674"
46536,Total,        Bachelor's degree or higher,428
46536,Male,        Bachelor's degree or higher,219
46536,Female,        Bachelor's degree or higher,209
46544,Total,        Bachelor's degree or higher,"4,379"
46544,Male,        Bachelor's degree or higher,"2,100"
46544,Female,        Bachelor's degree or higher,"2,279"
46545,Total,        Bachelor's degree or higher,"4,356"
46545,Male,        Bachelor's degree or higher,"2,046"
46545,Female,        Bachelor's degree or higher,"2,310"
46550,Total,        Bachelor's degree or higher,851
46550,Male,        Bachelor's degree or higher,408
46550,Female,        Bachelor's degree or higher,443
46552,Total,        Bachelor's degree or higher,"1,158"
46552,Male,        Bachelor's degree or higher,447
46552,Female,        Bachelor's degree or higher,711
46554,Total,        Bachelor's degree or higher,828
46554,Male,        Bachelor's degree or higher,333
46554,Female,        Bachelor's degree or higher,495
46556,Total,        Bachelor's degree or higher,279
46556,Male,        Bachelor's degree or higher,256
46556,Female,        Bachelor's degree or higher,23
46561,Total,        Bachelor's degree or higher,"2,027"
46561,Male,        Bachelor's degree or higher,915
46561,Female,        Bachelor's degree or higher,"1,112"
46563,Total,        Bachelor's degree or higher,"2,708"
46563,Male,        Bachelor's degree or higher,"1,029"
46563,Female,        Bachelor's degree or higher,"1,679"
46573,Total,        Bachelor's degree or higher,616
46573,Male,        Bachelor's degree or higher,335
46573,Female,        Bachelor's degree or higher,281
46574,Total,        Bachelor's degree or higher,873
46574,Male,        Bachelor's degree or higher,385
46574,Female,        Bachelor's degree or higher,488
46595,Total,        Bachelor's degree or higher,0
46595,Male,        Bachelor's degree or higher,0
46595,Female,        Bachelor's degree or higher,0
46601,Total,        Bachelor's degree or higher,598
46601,Male,        Bachelor's degree or higher,241
46601,Female,        Bachelor's degree or higher,357
46613,Total,        Bachelor's degree or higher,658
46613,Male,        Bachelor's degree or higher,306
46613,Female,        Bachelor's degree or higher,352
46614,Total,        Bachelor's degree or higher,"5,063"
46614,Male,        Bachelor's degree or higher,"2,511"
46614,Female,        Bachelor's degree or higher,"2,552"
46615,Total,        Bachelor's degree or higher,"2,654"
46615,Male,        Bachelor's degree or higher,"1,073"
46615,Female,        Bachelor's degree or higher,"1,581"
46616,Total,        Bachelor's degree or higher,994
46616,Male,        Bachelor's degree or higher,508
46616,Female,        Bachelor's degree or higher,486
46617,Total,        Bachelor's degree or higher,"3,441"
46617,Male,        Bachelor's degree or higher,"1,686"
46617,Female,        Bachelor's degree or higher,"1,755"
46619,Total,        Bachelor's degree or higher,989
46619,Male,        Bachelor's degree or higher,410
46619,Female,        Bachelor's degree or higher,579
46624,Total,        Bachelor's degree or higher,40
46624,Male,        Bachelor's degree or higher,15
46624,Female,        Bachelor's degree or higher,25
46628,Total,        Bachelor's degree or higher,"3,521"
46628,Male,        Bachelor's degree or higher,"1,533"
46628,Female,        Bachelor's degree or higher,"1,988"
46635,Total,        Bachelor's degree or higher,"1,268"
46635,Male,        Bachelor's degree or higher,622
46635,Female,        Bachelor's degree or higher,646
46637,Total,        Bachelor's degree or higher,"3,404"
46637,Male,        Bachelor's degree or higher,"1,696"
46637,Female,        Bachelor's degree or higher,"1,708"
"St. Joseph County, Indiana",Total,    Black alone,"20,481"
"St. Joseph County, Indiana",Male,    Black alone,"9,131"
"St. Joseph County, Indiana",Female,    Black alone,"11,350"
46506,Total,    Black alone,11
46506,Male,    Black alone,9
46506,Female,    Black alone,2
46530,Total,    Black alone,552
46530,Male,    Black alone,211
46530,Female,    Black alone,341
46536,Total,    Black alone,6
46536,Male,    Black alone,3
46536,Female,    Black alone,3
46544,Total,    Black alone,"1,739"
46544,Male,    Black alone,"1,126"
46544,Female,    Black alone,613
46545,Total,    Black alone,"1,107"
46545,Male,    Black alone,585
46545,Female,    Black alone,522
46550,Total,    Black alone,57
46550,Male,    Black alone,46
46550,Female,    Black alone,11
46552,Total,    Black alone,2
46552,Male,    Black alone,0
46552,Female,    Black alone,2
46554,Total,    Black alone,11
46554,Male,    Black alone,11
46554,Female,    Black alone,0
46556,Total,    Black alone,31
46556,Male,    Black alone,31
46556,Female,    Black alone,0
46561,Total,    Black alone,206
46561,Male,    Black alone,121
46561,Female,    Black alone,85
46563,Total,    Black alone,132
46563,Male,    Black alone,65
46563,Female,    Black alone,67
46573,Total,    Black alone,11
46573,Male,    Black alone,4
46573,Female,    Black alone,7
46574,Total,    Black alone,0
46574,Male,    Black alone,0
46574,Female,    Black alone,0
46595,Total,    Black alone,0
46595,Male,    Black alone,0
46595,Female,    Black alone,0
46601,Total,    Black alone,"1,154"
46601,Male,    Black alone,589
46601,Female,    Black alone,565
46613,Total,    Black alone,"1,433"
46613,Male,    Black alone,628
46613,Female,    Black alone,805
46614,Total,    Black alone,"2,352"
46614,Male,    Black alone,943
46614,Female,    Black alone,"1,409"
46615,Total,    Black alone,935
46615,Male,    Black alone,510
46615,Female,    Black alone,425
46616,Total,    Black alone,834
46616,Male,    Black alone,415
46616,Female,    Black alone,419
46617,Total,    Black alone,"1,131"
46617,Male,    Black alone,527
46617,Female,    Black alone,604
46619,Total,    Black alone,"2,761"
46619,Male,    Black alone,"1,114"
46619,Female,    Black alone,"1,647"
46624,Total,    Black alone,0
46624,Male,    Black alone,0
46624,Female,    Black alone,0
46628,Total,    Black alone,"4,398"
46628,Male,    Black alone,"1,442"
46628,Female,    Black alone,"2,956"
46635,Total,    Black alone,323
46635,Male,    Black alone,71
46635,Female,    Black alone,252
46637,Total,    Black alone,"1,557"
46637,Male,    Black alone,838
46637,Female,    Black alone,719
"St. Joseph County, Indiana",Total,        High school graduate or higher,"16,955"
"St. Joseph County, Indiana",Male,        High school graduate or higher,"7,348"
"St. Joseph County, Indiana",Female,        High school graduate or higher,"9,607"
46506,Total,        High school graduate or higher,11
46506,Male,        High school graduate or higher,9
46506,Female,        High school graduate or higher,2
46530,Total,        High school graduate or higher,549
46530,Male,        High school graduate or higher,211
46530,Female,        High school graduate or higher,338
46536,Total,        High school graduate or higher,3
46536,Male,        High school graduate or higher,0
46536,Female,        High school graduate or higher,3
46544,Total,        High school graduate or higher,"1,264"
46544,Male,        High school graduate or higher,824
46544,Female,        High school graduate or higher,440
46545,Total,        High school graduate or higher,"1,016"
46545,Male,        High school graduate or higher,539
46545,Female,        High school graduate or higher,477
46550,Total,        High school graduate or higher,46
46550,Male,        High school graduate or higher,46
46550,Female,        High school graduate or higher,0
46552,Total,        High school graduate or higher,2
46552,Male,        High school graduate or higher,0
46552,Female,        High school graduate or higher,2
46554,Total,        High school graduate or higher,11
46554,Male,        High school graduate or higher,11
46554,Female,        High school graduate or higher,0
46556,Total,        High school graduate or higher,26
46556,Male,        High school graduate or higher,26
46556,Female,        High school graduate or higher,0
46561,Total,        High school graduate or higher,175
46561,Male,        High school graduate or higher,90
46561,Female,        High school graduate or higher,85
46563,Total,        High school graduate or higher,126
46563,Male,        High school graduate or higher,59
46563,Female,        High school graduate or higher,67
46573,Total,        High school graduate or higher,7
46573,Male,        High school graduate or higher,0
46573,Female,        High school graduate or higher,7
46574,Total,        High school graduate or higher,0
46574,Male,        High school graduate or higher,0
46574,Female,        High school graduate or higher,0
46595,Total,        High school graduate or higher,0
46595,Male,        High school graduate or higher,0
46595,Female,        High school graduate or higher,0
46601,Total,        High school graduate or higher,877
46601,Male,        High school graduate or higher,437
46601,Female,        High school graduate or higher,440
46613,Total,        High school graduate or higher,"1,155"
46613,Male,        High school graduate or higher,545
46613,Female,        High school graduate or higher,610
46614,Total,        High school graduate or higher,"2,099"
46614,Male,        High school graduate or higher,809
46614,Female,        High school graduate or higher,"1,290"
46615,Total,        High school graduate or higher,806
46615,Male,        High school graduate or higher,406
46615,Female,        High school graduate or higher,400
46616,Total,        High school graduate or higher,635
46616,Male,        High school graduate or higher,293
46616,Female,        High school graduate or higher,342
46617,Total,        High school graduate or higher,"1,069"
46617,Male,        High school graduate or higher,516
46617,Female,        High school graduate or higher,553
46619,Total,        High school graduate or higher,"2,154"
46619,Male,        High school graduate or higher,835
46619,Female,        High school graduate or higher,"1,319"
46624,Total,        High school graduate or higher,0
46624,Male,        High school graduate or higher,0
46624,Female,        High school graduate or higher,0
46628,Total,        High school graduate or higher,"3,754"
46628,Male,        High school graduate or higher,"1,174"
46628,Female,        High school graduate or higher,"2,580"
46635,Total,        High school graduate or higher,226
46635,Male,        High school graduate or higher,28
46635,Female,        High school graduate or higher,198
46637,Total,        High school graduate or higher,"1,185"
46637,Male,        High school graduate or higher,638
46637,Female,        High school graduate or higher,547
"St. Joseph County, Indiana",Total,        Bachelor's degree or higher,"3,870"
"St. Joseph County, Indiana",Male,        Bachelor's degree or higher,"1,422"
"St. Joseph County, Indiana",Female,        Bachelor's degree or higher,"2,448"
46506,Total,        Bachelor's degree or higher,9
46506,Male,        Bachelor's degree or higher,9
46506,Female,        Bachelor's degree or higher,0
46530,Total,        Bachelor's degree or higher,297
46530,Male,        Bachelor's degree or higher,127
46530,Female,        Bachelor's degree or higher,170
46536,Total,        Bachelor's degree or higher,0
46536,Male,        Bachelor's degree or higher,0
46536,Female,        Bachelor's degree or higher,0
46544,Total,        Bachelor's degree or higher,348
46544,Male,        Bachelor's degree or higher,107
46544,Female,        Bachelor's degree or higher,241
46545,Total,        Bachelor's degree or higher,120
46545,Male,        Bachelor's degree or higher,36
46545,Female,        Bachelor's degree or higher,84
46550,Total,        Bachelor's degree or higher,0
46550,Male,        Bachelor's degree or higher,0
46550,Female,        Bachelor's degree or higher,0
46552,Total,        Bachelor's degree or higher,2
46552,Male,        Bachelor's degree or higher,0
46552,Female,        Bachelor's degree or higher,2
46554,Total,        Bachelor's degree or higher,11
46554,Male,        Bachelor's degree or higher,11
46554,Female,        Bachelor's degree or higher,0
46556,Total,        Bachelor's degree or higher,11
46556,Male,        Bachelor's degree or higher,11
46556,Female,        Bachelor's degree or higher,0
46561,Total,        Bachelor's degree or higher,3
46561,Male,        Bachelor's degree or higher,0
46561,Female,        Bachelor's degree or higher,3
46563,Total,        Bachelor's degree or higher,24
46563,Male,        Bachelor's degree or higher,24
46563,Female,        Bachelor's degree or higher,0
46573,Total,        Bachelor's degree or higher,0
46573,Male,        Bachelor's degree or higher,0
46573,Female,        Bachelor's degree or higher,0
46574,Total,        Bachelor's degree or higher,0
46574,Male,        Bachelor's degree or higher,0
46574,Female,        Bachelor's degree or higher,0
46595,Total,        Bachelor's degree or higher,0
46595,Male,        Bachelor's degree or higher,0
46595,Female,        Bachelor's degree or higher,0
46601,Total,        Bachelor's degree or higher,174
46601,Male,        Bachelor's degree or higher,68
46601,Female,        Bachelor's degree or higher,106
46613,Total,        Bachelor's degree or higher,87
46613,Male,        Bachelor's degree or higher,2
46613,Female,        Bachelor's degree or higher,85
46614,Total,        Bachelor's degree or higher,850
46614,Male,        Bachelor's degree or higher,215
46614,Female,        Bachelor's degree or higher,635
46615,Total,        Bachelor's degree or higher,146
46615,Male,        Bachelor's degree or higher,95
46615,Female,        Bachelor's degree or higher,51
46616,Total,        Bachelor's degree or higher,37
46616,Male,        Bachelor's degree or higher,16
46616,Female,        Bachelor's degree or higher,21
46617,Total,        Bachelor's degree or higher,240
46617,Male,        Bachelor's degree or higher,99
46617,Female,        Bachelor's degree or higher,141
46619,Total,        Bachelor's degree or higher,321
46619,Male,        Bachelor's degree or higher,191
46619,Female,        Bachelor's degree or higher,130
46624,Total,        Bachelor's degree or higher,0
46624,Male,        Bachelor's degree or higher,0
46624,Female,        Bachelor's degree or higher,0
46628,Total,        Bachelor's degree or higher,648
46628,Male,        Bachelor's degree or higher,221
46628,Female,        Bachelor's degree or higher,427
46635,Total,        Bachelor's degree or higher,117
46635,Male,        Bachelor's degree or higher,9
46635,Female,        Bachelor's degree or higher,108
46637,Total,        Bachelor's degree or higher,449
46637,Male,        Bachelor's degree or higher,205
46637,Female,        Bachelor's degree or higher,244
"St. Joseph County, Indiana",Total,    American Indian or Alaska Native alone,526
"St. Joseph County, Indiana",Male,    American Indian or Alaska Native alone,281
"St. Joseph County, Indiana",Female,    American Indian or Alaska Native alone,245
46506,Total,    American Indian or Alaska Native alone,26
46506,Male,    American Indian or Alaska Native alone,0
46506,Female,    American Indian or Alaska Native alone,26
46530,Total,    American Indian or Alaska Native alone,75
46530,Male,    American Indian or Alaska Native alone,63
46530,Female,    American Indian or Alaska Native alone,12
46536,Total,    American Indian or Alaska Native alone,0
46536,Male,    American Indian or Alaska Native alone,0
46536,Female,    American Indian or Alaska Native alone,0
46544,Total,    American Indian or Alaska Native alone,12
46544,Male,    American Indian or Alaska Native alone,12
46544,Female,    American Indian or Alaska Native alone,0
46545,Total,    American Indian or Alaska Native alone,53
46545,Male,    American Indian or Alaska Native alone,12
46545,Female,    American Indian or Alaska Native alone,41
46550,Total,    American Indian or Alaska Native alone,0
46550,Male,    American Indian or Alaska Native alone,0
46550,Female,    American Indian or Alaska Native alone,0
46552,Total,    American Indian or Alaska Native alone,0
46552,Male,    American Indian or Alaska Native alone,0
46552,Female,    American Indian or Alaska Native alone,0
46554,Total,    American Indian or Alaska Native alone,0
46554,Male,    American Indian or Alaska Native alone,0
46554,Female,    American Indian or Alaska Native alone,0
46556,Total,    American Indian or Alaska Native alone,5
46556,Male,    American Indian or Alaska Native alone,0
46556,Female,    American Indian or Alaska Native alone,5
46561,Total,    American Indian or Alaska Native alone,34
46561,Male,    American Indian or Alaska Native alone,11
46561,Female,    American Indian or Alaska Native alone,23
46563,Total,    American Indian or Alaska Native alone,75
46563,Male,    American Indian or Alaska Native alone,15
46563,Female,    American Indian or Alaska Native alone,60
46573,Total,    American Indian or Alaska Native alone,0
46573,Male,    American Indian or Alaska Native alone,0
46573,Female,    American Indian or Alaska Native alone,0
46574,Total,    American Indian or Alaska Native alone,21
46574,Male,    American Indian or Alaska Native alone,0
46574,Female,    American Indian or Alaska Native alone,21
46595,Total,    American Indian or Alaska Native alone,0
46595,Male,    American Indian or Alaska Native alone,0
46595,Female,    American Indian or Alaska Native alone,0
46601,Total,    American Indian or Alaska Native alone,17
46601,Male,    American Indian or Alaska Native alone,5
46601,Female,    American Indian or Alaska Native alone,12
46613,Total,    American Indian or Alaska Native alone,116
46613,Male,    American Indian or Alaska Native alone,73
46613,Female,    American Indian or Alaska Native alone,43
46614,Total,    American Indian or Alaska Native alone,59
46614,Male,    American Indian or Alaska Native alone,32
46614,Female,    American Indian or Alaska Native alone,27
46615,Total,    American Indian or Alaska Native alone,17
46615,Male,    American Indian or Alaska Native alone,0
46615,Female,    American Indian or Alaska Native alone,17
46616,Total,    American Indian or Alaska Native alone,3
46616,Male,    American Indian or Alaska Native alone,3
46616,Female,    American Indian or Alaska Native alone,0
46617,Total,    American Indian or Alaska Native alone,18
46617,Male,    American Indian or Alaska Native alone,14
46617,Female,    American Indian or Alaska Native alone,4
46619,Total,    American Indian or Alaska Native alone,72
46619,Male,    American Indian or Alaska Native alone,43
46619,Female,    American Indian or Alaska Native alone,29
46624,Total,    American Indian or Alaska Native alone,0
46624,Male,    American Indian or Alaska Native alone,0
46624,Female,    American Indian or Alaska Native alone,0
46628,Total,    American Indian or Alaska Native alone,8
46628,Male,    American Indian or Alaska Native alone,0
46628,Female,    American Indian or Alaska Native alone,8
46635,Total,    American Indian or Alaska Native alone,0
46635,Male,    American Indian or Alaska Native alone,0
46635,Female,    American Indian or Alaska Native alone,0
46637,Total,    American Indian or Alaska Native alone,61
46637,Male,    American Indian or Alaska Native alone,44
46637,Female,    American Indian or Alaska Native alone,17
"St. Joseph County, Indiana",Total,        High school graduate or higher,475
"St. Joseph County, Indiana",Male,        High school graduate or higher,250
"St. Joseph County, Indiana",Female,        High school graduate or higher,225
46506,Total,        High school graduate or higher,26
46506,Male,        High school graduate or higher,0
46506,Female,        High school graduate or higher,26
46530,Total,        High school graduate or higher,75
46530,Male,        High school graduate or higher,63
46530,Female,        High school graduate or higher,12
46536,Total,        High school graduate or higher,0
46536,Male,        High school graduate or higher,0
46536,Female,        High school graduate or higher,0
46544,Total,        High school graduate or higher,12
46544,Male,        High school graduate or higher,12
46544,Female,        High school graduate or higher,0
46545,Total,        High school graduate or higher,53
46545,Male,        High school graduate or higher,12
46545,Female,        High school graduate or higher,41
46550,Total,        High school graduate or higher,0
46550,Male,        High school graduate or higher,0
46550,Female,        High school graduate or higher,0
46552,Total,        High school graduate or higher,0
46552,Male,        High school graduate or higher,0
